BASIN,y1,y2,ychange,dist_cent,TT,HW,SF,sg_rich,TMA,TDR
EAG,2009,2013,4,0.32545656016419183,0.12196101573880658,-0.0026221780586339616,5.939566295204424e-5,0.16095238660965094,-0.005106126603680539,-0.2551643794968559
EAG,2009,2014,5,0.594913347019712,-0.14651286191709223,0.013035445598880147,2.8232241809977854e-5,0.030698155562096874,0.019642970032905355,-0.5752892534103259
EAG,2009,2015,6,0.6331238187780794,-0.18322693680437074,0.0021717255906017474,6.458463096248312e-5,0.09374767247570581,0.2518297595583844,-0.5431961754986536
EAG,2009,2016,7,0.21361469246542267,-0.057625860669162865,-0.07164124129359994,3.473654877866883e-5,-0.08498890035873874,0.10586593473479389,-0.13692084953381073
EAG,2009,2017,8,0.6560526067909576,0.051858322313840466,-0.0341759949256939,2.6671100879727128e-5,0.0030209867880184316,-0.11400917950288242,-0.643071161358836
EAG,2009,2018,9,0.5596277704045338,0.03000637207371193,0.019031514288337992,7.849580426322333e-6,0.19760236426477717,0.09429589595124488,0.5137920299974716
EAG,2009,2019,10,0.8475250842172167,0.04065916060244623,0.08960090358466144,2.5526177778845138e-5,0.3818303704607602,0.23079383552468546,-0.7138326499532885
EAG,2009,2022,13,0.7148635701566076,-0.02104811635202708,0.02558292884923863,-6.236933147163448e-7,0.1804484475835073,0.13773121239417166,-0.6770530890434827
EAG,2009,2023,14,0.5906849555153966,-0.01808211756464473,-0.005416308706714612,2.3982213645079575e-5,0.0894960003953752,-0.004356330890400051,-0.583544261402557
EAG,2010,2011,1,0.5723444473774952,-0.03608188673847679,0.018442243266528213,1.4676313542738573e-5,0.11408348268888535,0.26878130873002304,-0.4905891503040981
EAG,2010,2012,2,0.3874840362054391,0.024406115910130532,0.034745669181255434,1.4832510156215228e-6,0.1588207883976731,0.02643695201181684,-0.34988284186603447
EAG,2010,2013,3,0.4357920206557094,0.0339955192683129,0.05188843318394509,4.511979418664325e-5,0.21898093118240824,-0.24483574809171404,-0.27958788714398836
